dblp_index,acm_index
0038f8cccc54176a272af7932e6eda3a,0038f8cccc54176a272af7932e6eda3a
0054f3461c04e5bd9503a147cfc1d78e,0054f3461c04e5bd9503a147cfc1d78e
00b95cd6300f89c3dee6f039733c6148,00b95cd6300f89c3dee6f039733c6148
00ccb243a9182abb927fe22cdd2f1c6e,00ccb243a9182abb927fe22cdd2f1c6e
014b373209926073502962643cc6fd77,014b373209926073502962643cc6fd77
02a79d1c35d89646b59eb4946f64a9ad,02a79d1c35d89646b59eb4946f64a9ad
02d7a4ca5143921d5e690bcebf0efe4c,02d7a4ca5143921d5e690bcebf0efe4c
0353f4623cacfbb83c73f71533db1917,0353f4623cacfbb83c73f71533db1917
038ccc935cffc0654ce7ac1dae8e67ba,038ccc935cffc0654ce7ac1dae8e67ba
039cef6536d4d76daa2aa05405c60256,039cef6536d4d76daa2aa05405c60256
03b94a8bb8ebcc53a9c1553794f2296c,03b94a8bb8ebcc53a9c1553794f2296c
03d6e2fc5d70efa440b59311d6481c02,03d6e2fc5d70efa440b59311d6481c02
04034beef8bb70a0518b753b6ebd30c6,04034beef8bb70a0518b753b6ebd30c6
041ca211b08d38cafb01c3ffb344e261,041ca211b08d38cafb01c3ffb344e261
04b14b14022915218831c10761b276da,04b14b14022915218831c10761b276da
056f32579b8abffcfd3276a01df6c003,056f32579b8abffcfd3276a01df6c003
05b15f1131e9dbb8adfaa750d678b952,05b15f1131e9dbb8adfaa750d678b952
0637f693033b7340135705a10324ba17,0637f693033b7340135705a10324ba17
06526b6ce9e1b0e16f2b556c8420589c,06526b6ce9e1b0e16f2b556c8420589c
06e8e8682a72e1bac1a442aea674f9a3,06e8e8682a72e1bac1a442aea674f9a3
074a156eb5ecb946dd03d79804f3f6c5,074a156eb5ecb946dd03d79804f3f6c5
0758462b660290ca4032785d42566b3a,0758462b660290ca4032785d42566b3a
0772bc4da02fc8a64f17587d21612261,0772bc4da02fc8a64f17587d21612261
086b2bc36cce28ba7d56642d887c6b26,086b2bc36cce28ba7d56642d887c6b26
0883ec932d23a8f2537c57c6c4eeb084,0883ec932d23a8f2537c57c6c4eeb084
08c1ce10402609b5afe943b0da435ce5,08c1ce10402609b5afe943b0da435ce5
08d99a64f413e100cb0efc64a4f1b327,08d99a64f413e100cb0efc64a4f1b327
096a25e5ddee7447d37271d45ff1902e,096a25e5ddee7447d37271d45ff1902e
096a9a46d4f7c1fc226daf12cb4378b1,096a9a46d4f7c1fc226daf12cb4378b1
09ae36469326b1f51a8a6be5194e481c,09ae36469326b1f51a8a6be5194e481c
0a0f625fac5d4f1678a247efc57d940b,0a0f625fac5d4f1678a247efc57d940b
0a4f3023859f23f4f4df8c36a9f02bb4,0a4f3023859f23f4f4df8c36a9f02bb4
0a6c3b55c206f8b4029d358e6d3913be,0a6c3b55c206f8b4029d358e6d3913be
0a7ab4a8477a3d942598fc699782e857,0a7ab4a8477a3d942598fc699782e857
0b12d0551f3d69bab01d36ad6c4a4cdd,0b12d0551f3d69bab01d36ad6c4a4cdd
0b182c5676c13186bcd6fce9fc87c6c0,0b182c5676c13186bcd6fce9fc87c6c0
0b2a25c2fa4cf8c317e8cadeabef7245,0b2a25c2fa4cf8c317e8cadeabef7245
0b57453fc996c683ba0afc1fb6606bed,0b57453fc996c683ba0afc1fb6606bed
0b59b37401fa2565b0a45434f60d3d19,0b59b37401fa2565b0a45434f60d3d19
0b8d31c9d8f4a8c9f9f82cde27489c1a,0b8d31c9d8f4a8c9f9f82cde27489c1a
0ba9709e7894f0e91e73e34cc03bcdbb,0ba9709e7894f0e91e73e34cc03bcdbb
0baba93eeaf04150781467debffaeb35,0baba93eeaf04150781467debffaeb35
0beadfc5fb131498c49e914fdbf38974,0beadfc5fb131498c49e914fdbf38974
0bfd5ea81319a26733a3029b7abcb755,0bfd5ea81319a26733a3029b7abcb755
0c1cb98980a16ba82e1abbad30810abe,0c1cb98980a16ba82e1abbad30810abe
0cc29adc6c6f04330367852b4457be67,0cc29adc6c6f04330367852b4457be67
0cebbb1893786158eeb6b1f82f989b87,0cebbb1893786158eeb6b1f82f989b87
0d5a36ec8d2319c68a297cc311a7fe8b,0d5a36ec8d2319c68a297cc311a7fe8b
0d8376691c47cffde62d60507b902b4b,0d8376691c47cffde62d60507b902b4b
0d889f0a3318017e42422e51631d38ec,0d889f0a3318017e42422e51631d38ec
0dda76c2aec84e738f6b235d9cce42fe,0dda76c2aec84e738f6b235d9cce42fe
0de73f6013bbc6cc86ae7fd7d02fce88,0de73f6013bbc6cc86ae7fd7d02fce88
0dfa6ab3993a566069c4fdefa77b782f,0dfa6ab3993a566069c4fdefa77b782f
