dblp_index,acm_index
000119752cc73104e5d8ce694d75f580,000119752cc73104e5d8ce694d75f580
001f7a5a626cda3b040e24009967e655,001f7a5a626cda3b040e24009967e655
00666e179db557a6bba17e4a5d983d82,00666e179db557a6bba17e4a5d983d82
00a38bb67598e3b4b54a06555b705315,00a38bb67598e3b4b54a06555b705315
00c7181cc93a446f7221bc05b512c3ee,00c7181cc93a446f7221bc05b512c3ee
00f401c17103deacefa24742f3e8f5b8,00f401c17103deacefa24742f3e8f5b8
0120636459bb035508a53f77511dd0ca,0120636459bb035508a53f77511dd0ca
012be082143a36fedf4f3ec58551790c,012be082143a36fedf4f3ec58551790c
01383810642520087b6e54b7eebb6902,01383810642520087b6e54b7eebb6902
019a15a1ab8f325e34d582e4c0ce4167,019a15a1ab8f325e34d582e4c0ce4167
019e1ee18b3939db98169529f859cb8d,019e1ee18b3939db98169529f859cb8d
01a6eda3e0c9adfe5c3c7325a858166d,01a6eda3e0c9adfe5c3c7325a858166d
01d04cd4000e2ee3597f6066b5d55c76,01d04cd4000e2ee3597f6066b5d55c76
01dc2f5f49181c0fae750db7c706c655,01dc2f5f49181c0fae750db7c706c655
01dfb1085d44639ac85c0fd2f66f78ad,01dfb1085d44639ac85c0fd2f66f78ad
024bac7488ca71a318baecf5c57c1571,024bac7488ca71a318baecf5c57c1571
02aeee785455d5a212831ba926e6a35e,02aeee785455d5a212831ba926e6a35e
02f302b2553a8eb492dce9245ffc3bfd,02f302b2553a8eb492dce9245ffc3bfd
02f9bd4fb45df98b4a223ccefd2a303f,02f9bd4fb45df98b4a223ccefd2a303f
045679fe1a2d1199a95faea675e815a4,045679fe1a2d1199a95faea675e815a4
04fed7f9e44bb6236b432dcf50e38115,04fed7f9e44bb6236b432dcf50e38115
05366fccc9d2487339dc147cb6f28b11,05366fccc9d2487339dc147cb6f28b11
05b9be2d2d381c5a3b0a3ca7365cfb53,05b9be2d2d381c5a3b0a3ca7365cfb53
05e5d28395b7def12273df8dbaa9ce89,05e5d28395b7def12273df8dbaa9ce89
0601e0eca25c0df67777ad356c2eb6d2,0601e0eca25c0df67777ad356c2eb6d2
0603fd3eebec26e02bd1379c8aad9da0,0603fd3eebec26e02bd1379c8aad9da0
0633f87bf63e4b29135bad269a83b78f,0633f87bf63e4b29135bad269a83b78f
0633f915f1f9067c5aaa3b53a7be451c,0633f915f1f9067c5aaa3b53a7be451c
0654d9b6efd07a3b52639687305a56a2,0654d9b6efd07a3b52639687305a56a2
06795be4607f4db04b1bdfb8c87c073d,06795be4607f4db04b1bdfb8c87c073d
06879cdbdd71bfe29cb33e2f7f4754bf,06879cdbdd71bfe29cb33e2f7f4754bf
