dblp_index,acm_index
0033ef87471ac2d844bea76ec6cc7c85,0033ef87471ac2d844bea76ec6cc7c85
007464e91083b21fd52c0bcff0cb676a,007464e91083b21fd52c0bcff0cb676a
0091499e25d13e2a7645f371b33033cf,0091499e25d13e2a7645f371b33033cf
009c6d8b72d70f71304661be336e14b3,009c6d8b72d70f71304661be336e14b3
00c5a12dbd795919d688b2a920038d8f,00c5a12dbd795919d688b2a920038d8f
00ccc0eedc934e44f0acc4757ed91c85,00ccc0eedc934e44f0acc4757ed91c85
00cdf1b0f7067f07ede51cab11e76545,00cdf1b0f7067f07ede51cab11e76545
01142368675b6bd58f3adae63e3a2820,01142368675b6bd58f3adae63e3a2820
01974aa5fad2e3aa3bdbee744819ff98,01974aa5fad2e3aa3bdbee744819ff98
03293dc57c399eff9302d30641cd9ab6,03293dc57c399eff9302d30641cd9ab6
0337c16d48e3c20970d34c3a510d792a,0337c16d48e3c20970d34c3a510d792a
0337ef3a8002d0f98449bad53c432f0d,0337ef3a8002d0f98449bad53c432f0d
03470d748b521a37f44f04f46b96b5ce,03470d748b521a37f44f04f46b96b5ce
035695d1da230438e35d740b84434be1,035695d1da230438e35d740b84434be1
03ab0942d16559dbce9ae4384bc882fd,03ab0942d16559dbce9ae4384bc882fd
03b6ef20a76c7f13af0bcf5da9889987,03b6ef20a76c7f13af0bcf5da9889987
03b979f4fc698f9ec81133befaa4bacf,03b979f4fc698f9ec81133befaa4bacf
04436985b3e34e8d9e56b144f6d68608,04436985b3e34e8d9e56b144f6d68608
0465ddeef106dab6e71afe98f3c9c1de,0465ddeef106dab6e71afe98f3c9c1de
04de36564d72e072a688b8c1f59c9d99,04de36564d72e072a688b8c1f59c9d99
0515e1106d8412a0ae8d4137b298c3c9,0515e1106d8412a0ae8d4137b298c3c9
059b9013e154e4a7642250d15b4263a0,059b9013e154e4a7642250d15b4263a0
05dcfadfc060a6472c22994a46c3ff38,05dcfadfc060a6472c22994a46c3ff38
06972205367d49c2546b2146af573cae,06972205367d49c2546b2146af573cae
0699537b6fd2dec9e774a63d204835a8,0699537b6fd2dec9e774a63d204835a8
06a0c878c9d8f08e3db31dafcea849c7,06a0c878c9d8f08e3db31dafcea849c7
06b5d04604812abd41c797c1fffe078c,06b5d04604812abd41c797c1fffe078c
06f20f658cdad5a91ba973fd31535fcc,06f20f658cdad5a91ba973fd31535fcc
07070d53dc02c878eebb1cb76a0b754d,07070d53dc02c878eebb1cb76a0b754d
07085bbe7c068b353ccb27e3381adac0,07085bbe7c068b353ccb27e3381adac0
078c33a182789b99b66f29e5e1763aec,078c33a182789b99b66f29e5e1763aec
079887f7e79623b34425db9a847eecd1,079887f7e79623b34425db9a847eecd1
07d616efe33ad30fe2f154def3410eae,07d616efe33ad30fe2f154def3410eae
08297fb992894ddc96438930af36380a,08297fb992894ddc96438930af36380a
0856f7dc5e89c7b3ef51add4ca55f094,0856f7dc5e89c7b3ef51add4ca55f094
085b736dce0511291f59ebc3c4313095,085b736dce0511291f59ebc3c4313095
086cf9f9f44c6b19327e0eee863b349a,086cf9f9f44c6b19327e0eee863b349a
0873100fc8e6687219209cb3a3982532,0873100fc8e6687219209cb3a3982532
08cf5437fc83809e6275d568b4dc7ef1,08cf5437fc83809e6275d568b4dc7ef1
092d0ffd9cee2fe439ef754d6230a14d,092d0ffd9cee2fe439ef754d6230a14d
09c8efdfd0bfcb6bbe2f2d55cbe61dc1,09c8efdfd0bfcb6bbe2f2d55cbe61dc1
09e571ac71960a689bf6fdab499c23fb,09e571ac71960a689bf6fdab499c23fb
0a134b208f2b8c24295a4811725e694f,0a134b208f2b8c24295a4811725e694f
0a15975d0175ba4801ff91e95740eb71,0a15975d0175ba4801ff91e95740eb71
0a4e15fc170d60ab29d66a6db5e143c3,0a4e15fc170d60ab29d66a6db5e143c3
0ae4c96f4fcc82401019c61ecbe091ed,0ae4c96f4fcc82401019c61ecbe091ed
0ae77154fdaf6d269adc64ec15378571,0ae77154fdaf6d269adc64ec15378571
0aeca6c3ea5073c64f2a8be8cf9fe60f,0aeca6c3ea5073c64f2a8be8cf9fe60f
0b5128139e1d2a1e2a7d0a5c29805aa9,0b5128139e1d2a1e2a7d0a5c29805aa9
0b51a1b88b9a8de90ef205fa1734e002,0b51a1b88b9a8de90ef205fa1734e002
0b9d74366ccd3e2b296836499d86ff59,0b9d74366ccd3e2b296836499d86ff59
0baa9fbef7b65c04b7ad5bc5df9c3207,0baa9fbef7b65c04b7ad5bc5df9c3207
0bb640642e79a0c3e52f340088f5008f,0bb640642e79a0c3e52f340088f5008f
0bca26a4818e11a1a5e9a55ff526455e,0bca26a4818e11a1a5e9a55ff526455e
0bda7a05dfe0627d8f546ca756c921a6,0bda7a05dfe0627d8f546ca756c921a6
0c03d74694fea5e20d856071e635add3,0c03d74694fea5e20d856071e635add3
0c97d0cdf96e6e1915110dd3a5c97167,0c97d0cdf96e6e1915110dd3a5c97167
0cc574f7872e89c526610d3c4700b618,0cc574f7872e89c526610d3c4700b618
0cf7600c9c97bd1d4a17b9b3c496e242,0cf7600c9c97bd1d4a17b9b3c496e242
0d380330b7aa3c1b9b78dea86da6bda6,0d380330b7aa3c1b9b78dea86da6bda6
